link;correct_ocr;misread_word;newspaper
http://hdl.handle.net/109.3.1/uuid:70643f20-74b1-497d-bebc-fb50c689106b;1;NA;dagbladetkoebenhavn
http://hdl.handle.net/109.3.1/uuid:c6e3e906-df58-44f1-84e6-778f9b4abe90;1;NA;faedrelandet
http://hdl.handle.net/109.3.1/uuid:89947e7d-a618-48ff-8c02-0fcd8899f614;0;Samlet;dagen1803
http://hdl.handle.net/109.3.1/uuid:33cef744-a483-420b-9373-6bc43bf3c356;1;NA;thistedamtsavis
http://hdl.handle.net/109.3.1/uuid:c43a5010-3eba-434b-b232-0b4e92bf0f36;1;NA;slagelseposten
http://hdl.handle.net/109.3.1/uuid:af39899f-3dcc-423a-ad9e-feb7abc33ee8;0;Nykjøbing;lollandfalstersstiftstidende
http://hdl.handle.net/109.3.1/uuid:ec7e25a0-15b0-41e2-9b97-58611c9ec8dc;1;NA;folketsaviskoebenhavn
http://hdl.handle.net/109.3.1/uuid:b2e85f32-6567-4225-8715-e192ade636f0;0;London;dagbladetkoebenhavn
http://hdl.handle.net/109.3.1/uuid:70643f20-74b1-497d-bebc-fb50c689106b;1;NA;dagbladetkoebenhavn
http://hdl.handle.net/109.3.1/uuid:8532d1d4-7193-43d2-aaa4-f9e6702be74f;1;NA;dagbladetkoebenhavn
http://hdl.handle.net/109.3.1/uuid:b2761895-f09a-403a-9b87-a08ccced2d4a;1;NA;dagstelegrafenkoebenhavn
http://hdl.handle.net/109.3.1/uuid:a2da3103-576b-4301-8bcf-b509ef6967b5;1;NA;dagstelegrafenkoebenhavn
http://hdl.handle.net/109.3.1/uuid:08654c55-534e-4943-9fb1-148347bcb3a6;1;NA;dagstelegrafenkoebenhavn
http://hdl.handle.net/109.3.1/uuid:2cf5d1dd-90d2-4721-a968-5b34e0c836bd;0;Sommer;folketsaviskoebenhavn
http://hdl.handle.net/109.3.1/uuid:db13915d-4c4e-4356-8f2d-9d8f3b172cc7;1;NA;dagstelegrafenkoebenhavn
http://hdl.handle.net/109.3.1/uuid:d4e9f410-25d8-40c2-a01e-3bac96fd6e93;1;NA;dagstelegrafenkoebenhavn
http://hdl.handle.net/109.3.1/uuid:a7b469cc-0c93-4ca1-9432-b7f8599415ce;1;NA;dagstelegrafenkoebenhavn
http://hdl.handle.net/109.3.1/uuid:ad78c11a-516d-45d7-b0aa-19fd9d7d3857;1;NA;dagstelegrafenkoebenhavn
http://hdl.handle.net/109.3.1/uuid:55f030e6-bacf-4e7a-b9b2-22a7956d5901;1;NA;soroeamtstidende
http://hdl.handle.net/109.3.1/uuid:9b6281f3-940b-4e73-b7e6-9e3e70747445;0;Kjøbenhavns;koldingfolkeblad
http://hdl.handle.net/109.3.1/uuid:75e39fb0-5d87-4e55-8f9e-87b130d19cdd;1;NA;horsensfolkeblad
